,respaldo,balanceo de carga,disponibilidad,replicación,arbitrar,votación,sustitución,exportar,actualizar,nota
21d11c2f294578dc099d9d701d6efe02,0,0,0,1,1,0,0,0,0,0.75
054b955cfb5d435f27ff18b109b136e1,1,1,1,0,1,1,1,0,1,0.95
812eace7c692fa287fa5ff524697107b,0,0,1,0,1,0,0,0,0,0.95
2fb405439e8aaae1d342716e1b595d83,1,0,1,1,1,1,0,1,1,1.0
f7285176074d58e58fbbc2c485926167,0,0,1,0,1,0,0,1,1,0.75
53ebdb2239cc53c714efaaa26e576c4c,0,0,1,1,1,1,0,0,1,0.75
e8de7e25ccce23438087cf820c323b8d,0,0,0,0,0,0,1,0,1,0.9
34523c68fa60ddf61f36e33d10e525eb,0,0,1,0,1,0,0,0,0,1.0
b0616bb8de9475d9491a9581e6ed9811,0,0,1,0,0,0,0,0,0,0.75
653e6dc27f1031bcd8e1c1fa62070649,1,0,1,0,1,1,0,0,1,1.0
02a50793837b6c2e3c8105f4c1314b9a,0,0,0,0,0,0,0,0,0,0.0
205c0231adf836bb764104ca86f55ce0,0,0,0,0,0,0,0,0,0,0.0
43a3bb1a3195a809ef8574ce38518a5a,1,0,1,1,1,1,0,0,0,0.5
b5c4e8f6aa7e71df24b02d4bf2fe5b1d,1,0,0,0,1,0,0,1,0,0.75
b59a168a62d6ce6b68998c47fe2dabfa,1,0,1,0,1,0,0,0,0,0.9
88ab1d4208b2a7f96662ead8c313efa8,1,0,1,0,1,1,1,1,0,0.15
d0b36b1b57e447cb11157d9c3f3a6ff2,1,0,1,1,0,0,0,0,1,0.95
da4af2113dc6448568b6b35d1ca8c9d4,0,0,1,0,1,0,0,0,1,0.4
6a617ebdfa1f4c1ce62c268c9038b0c8,0,1,1,0,0,0,0,0,1,0.75
39e7c6fcf3761c9b8d35b98c8c382305,0,0,0,0,0,0,0,0,0,0.0
